CLASS,SPECIES_FINAL,STRAIN,SOURCE_FINAL,AUTHOR_FINAL,NONSYNOM_REM,NONSYNOM_ALT,NONSYNOM_REC,SPECIES_TOGASHI,AUTHOR_TOGASHI,SOURCE_VERIFICATION,AUTHOR_VERIFICATION,SPECIES_TOGASHI_ALT,SPECIES_TOGASHI_NON,TITLE_INFO,TITLE_MATCH,SPECIES_CHANGED,AMBIGUOUS,SPORE,PROCESS,CARDINAL,TEMPERATURE,DETAILS,UNCERTAINTY,TEMPERATURE_REFERENCE,DISEASE,HOST_PLANT
fungi,acanthohelicospora aurea,,SF,(Corda) Rossman & W.C. Allen (2016),,,,helicosporium aureum,(CDA.) Linder,SF,(Corda) Linder (1929),,,,,,,,growth in culture,opt,21.5,note:  21-22,,"Linder, 1929",,
fungi,acrostalagmus luteoalbus,,SF,"(Link) Zare, W. Gams & Schroers (2004)",,,,verticillium cinnabarinum,Luz,SF/MB,"wrong author - (Corda) Reinke & Berthold 1879 / (Corda) Reinke & Berthold, Untersuchungen aus dem Botanischen Laboratorium der Universität Göttingen 1: 63 (1879) [MB#201629]",,,,,,Y,,growth in culture,opt,21,,,"Luz, 1933",,
fungi,albonectria rigidiuscula,,SF,(Berk. & Broome) Rossman & Samuels (1999),,,,fusarium decemcellulare,Brick,SF,Brick (1908),,,,,,,,growth in culture,max,37.5,"note:  fair at 34, very slight at 37.5. Upper estimate taken as Tmax.",>,"Leonian, 1929",,
fungi,albonectria rigidiuscula,,SF,(Berk. & Broome) Rossman & Samuels (1999),,,,fusarium decemcellulare,Brick,SF,Brick (1908),,,,,,,,growth in culture,min,5,note:  no growth,>,"Leonian, 1929",,
oomycete,albugo candida,radish,SF/MB - LEG,"(Pers. ex J.F. Gmel.) Roussel / (Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]",,,,albugo candida; albugo candida var. microspora; cystopus candidus,(Pers.) Kuntze; Togashi et Shibasaki; (Pers.) Lev.,MB - LEG; SF; SF,"(Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]; Togashi & Shibasaki (1930); (Pers. ex J.F. Gmel.) Lév., 1848.",,,,,,,,spore germination,max,25,note:  after chilling,,"Melhus, 1911",,radish
oomycete,albugo candida,,SF/MB - LEG,"(Pers. ex J.F. Gmel.) Roussel / (Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]",,,,albugo candida; albugo candida var. microspora; cystopus candidus,(Pers.) Kuntze; Togashi et Shibasaki; (Pers.) Lev.,MB - LEG; SF; SF,"(Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]; Togashi & Shibasaki (1930); (Pers. ex J.F. Gmel.) Lév., 1848.",,,,,,,,spore germination,max,20,note:  about,,"Napper, 1933",,radish
oomycete,albugo candida,radish,SF/MB - LEG,"(Pers. ex J.F. Gmel.) Roussel / (Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]",,,,albugo candida; albugo candida var. microspora; cystopus candidus,(Pers.) Kuntze; Togashi et Shibasaki; (Pers.) Lev.,MB - LEG; SF; SF,"(Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]; Togashi & Shibasaki (1930); (Pers. ex J.F. Gmel.) Lév., 1848.",,,,,,,,spore germination,min,0,note:  after chilling,,"Melhus, 1911",,radish
oomycete,albugo candida,,SF/MB - LEG,"(Pers. ex J.F. Gmel.) Roussel / (Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]",,,,albugo candida; albugo candida var. microspora; cystopus candidus,(Pers.) Kuntze; Togashi et Shibasaki; (Pers.) Lev.,MB - LEG; SF; SF,"(Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]; Togashi & Shibasaki (1930); (Pers. ex J.F. Gmel.) Lév., 1848.",,,,,,,,spore germination,min,1,note:  about,,"Napper, 1933",,radish
oomycete,albugo candida,radish,SF/MB - LEG,"(Pers. ex J.F. Gmel.) Roussel / (Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]",,,,albugo candida; albugo candida var. microspora; cystopus candidus,(Pers.) Kuntze; Togashi et Shibasaki; (Pers.) Lev.,MB - LEG; SF; SF,"(Pers. ex J.F. Gmel.) Kuntze, Revisio generum plantarum 2: 47 (1891) [MB#122113]; Togashi & Shibasaki (1930); (Pers. ex J.F. Gmel.) Lév., 1848.",,,,,,,,spore germination,opt,10,note:  after chilling,,"Melhus, 1911",,radish
oomycete,albugo ipomoeae-panduratae,,SF,(Schwein.) Swingle (1892),,,,albugo ipomoeae-panduratae,(Schwein.) Swingle,SF,(Schwein.) Swingle (1892),,,,,,,conidia,spore germination,max,25,"note:  no germination occurs after 1.5 hours at >25 (at all temperatures from 12 - 25 germination is complete in 1 and 1.5 hours). As record specifically details that germination is achieved at 25, Tmax may be >25.",>,"Harter and Weimer, 1929",,
oomycete,albugo ipomoeae-panduratae,,SF,(Schwein.) Swingle (1892),,,,albugo ipomoeae-panduratae,(Schwein.) Swingle,SF,(Schwein.) Swingle (1892),,,,,,,conidia,spore germination,min,8.2,note:  no germination occurs after 1.5 hours at < 8.2 (at all temperatures from 12 - 25 germination is complete in 1 and 1.5 hours). Assume 8.2 reflects Tmin (i.e. point at which below process does not occur).,,"Harter and Weimer, 1929",,
fungi,alternaria alternata,,SF,(Fr.) Keissl. (1912),,,,alternaria tenuis,Nees.,SF,Nees (1816),,,,,,,,disease development,max,35,,,"Johnson, J. and Ogden, 1936",pole rot,tobacco
fungi,alternaria alternata,,SF,(Fr.) Keissl. (1912),,,,alternaria tenuis,Nees.,SF,Nees (1816),,,,,,,,disease development,min,15.6,,,"Johnson, J. and Ogden, 1936",pole rot,tobacco
fungi,alternaria alternata,,SF,(Fr.) Keissl. (1912),,,,alternaria tenuis,Nees.,SF,Nees (1816),,,,,,,,disease development,opt,26.7,note:  near,,"Johnson, J. and Ogden, 1936",pole rot,tobacco
fungi,alternaria alternata,,SF,(Fr.) Keissl. (1912),,,,alternaria tenuis,Nees.,SF,Nees (1816),,,,,,,,growth in culture,max,40,note:  <40,<,"Bockmann, 1933",,
fungi,alternaria alternata,,SF,(Fr.) Keissl. (1912),,,,alternaria tenuis,Nees.,SF,Nees (1816),,,,,,,,growth in culture,min,-2,note:  about,,"Bockmann, 1933",,
fungi,alternaria alternata,,SF,(Fr.) Keissl. (1912),,,,alternaria tenuis,Nees.,SF,Nees (1816),,,,,,,,growth in culture,opt,26,,,"Bockmann, 1933",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,disease development,max,34.7,note:  <34.7,<,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,disease development,max,36,note:  about,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,disease development,min,7,,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,disease development,min,1.8,,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,disease development,opt,27.5,note:  25-30,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,disease development,opt,29.5,note:  28-31,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,growth in culture,max,36,,,"Weimer, 1924",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,growth in culture,min,2,note:  <2,<,"Weimer, 1924",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,growth in culture,opt,26,note:  25-27,,"Weimer, 1924",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,infection,max,34.7,note:  <34.7,<,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,infection,max,36,note:  about,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,infection,min,7,,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,infection,min,1.8,,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,infection,opt,27.5,note:  25-30,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,infection,opt,29.5,note:  28-31,,"Weimer, 1924",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,spore germination,max,43,note:  40-46,,"Weimer, 1924",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,spore germination,min,1.5,note:  <1.5,<,"Weimer, 1924",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria brassicae,(Berk.) Sacc.,SF,(Berk.) Sacc. (1880),,,,,,,,spore germination,opt,34,note:  33-35,,"Weimer, 1924",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria herculea,(Ell. Et Mart.) Elliot,SF,(Ellis & G. Martin) J.A. Elliott (1917),,,,,,,,disease development,min,0,"note:  a slow decay of the curd of califlower takes place at 0, 2, 4, 5, 9, and 20 - 25. Take 0 as estimate of Tmin (seeing as freezing point) but Tmin could be < 0.",,"Weimer, 1926b",,cauliflower
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria herculea,(Ell. Et Mart.) Elliot,SF,(Ellis & G. Martin) J.A. Elliott (1917),,,,,,,,growth in culture,max,35,,,"Kawai, 1933",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria herculea,(Ell. Et Mart.) Elliot,SF,(Ellis & G. Martin) J.A. Elliott (1917),,,,,,,,growth in culture,min,10,note:  very poor,<,"Kawai, 1933",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria herculea,(Ell. Et Mart.) Elliot,SF,(Ellis & G. Martin) J.A. Elliott (1917),,,,,,,,growth in culture,opt,17,,,"Kawai, 1933",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria herculea,(Ell. Et Mart.) Elliot,SF,(Ellis & G. Martin) J.A. Elliott (1917),,,,,,,,spore germination,max,35,note:  very poor above 35,>,"Kawai, 1933",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria herculea,(Ell. Et Mart.) Elliot,SF,(Ellis & G. Martin) J.A. Elliott (1917),,,,,,,,spore germination,min,2,note:  very poor below 2,<,"Kawai, 1933",,
fungi,alternaria brassicae,,SF,(Berk.) Sacc. (1880),,,,alternaria herculea,(Ell. Et Mart.) Elliot,SF,(Ellis & G. Martin) J.A. Elliott (1917),,,,,,,,spore germination,opt,20,,,"Kawai, 1933",,
